evidence_id,source_database,source_accession,title,outcome_domain,suggested_text,suggested_p_value,final_value,final_unit,final_direction,comparison,time_point,p_value_confirmed,sample_size_confirmed,extraction_source,reviewer,review_status,reviewer_note,pdf_source_file,pdf_match_score,pdf_pages,pdf_intervention_terms,pdf_duration_terms,pdf_cfu_terms,pdf_sample_size_terms,pdf_outcome_terms,pdf_text_excerpt
EUROPEPMC:PMC12938260,publisher supplementary data,PMC12938260,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",weight,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",,,,,,,,,detail_hint,supplement_queue,pending,,,,,,,,,,
EUROPEPMC:PMC12938260,publisher supplementary data,PMC12938260,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",lipid,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",,,,,,,,,detail_hint,supplement_queue,pending,,,,,,,,,,
EUROPEPMC:PMC12938260,publisher supplementary data,PMC12938260,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",microbiome,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",,,,,,,,,detail_hint,supplement_queue,pending,,,,,,,,,,
EUROPEPMC:42116047,PubMed,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",BMI,"bifidum BGN4 did not result in significant changes in BMI, body fat percentage, or the primary outcome, hs-CRP.",,,,,,,,60 adults; 30 participants; 58 participants; 29 individuals,detail_hint,supplement_queue,pending,,s12986-026-01124-1_reference.pdf,0.899,48,Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome compositi; Bifidobacterium 7bifidum BGN4 alters gut microbiota composition and to assess its associated ef; probiotic intervention modulated 23the enrichment of several taxa; Bifidobacterium 24catenulatum group; Lactiplantibacillus plantarum group; Probiotic; Akkermansia muciniphila and Bifidobacterium longum; probiotic supplementation in obese 68individuals reported a significant mean reduction in,8 weeks,,60 adults; 30 participants; 58 participants,insulin; adiposity; body fat; microbiota; glucose; BMI; SCFA; body weight; waist circumference,"ARTICLE IN PRESS Article in Press Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial Nutrition & Metabolism Received: 31 December 2025 Accepted: 16 April 2026 Cite this article as: Choi J., Kim H., Ham S. et al. Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial. Nutr Metab (Lond) (2026). https://doi.org/10.1186/ s12986-026-01124-1 Ju-Won Choi, Hyeyoon Kim, Sung-Hee Ham, Ye-Jin Han, Sung-Eun Kim & Mi-Kyung Sung We are providing an unedited version of this manuscript to give early access to its findings. Before final publication, the manus"
EUROPEPMC:42116047,PubMed,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",body_fat,"bifidum BGN4 did not result in significant changes in BMI, body fat percentage, or the primary outcome, hs-CRP.",,,,,,,,60 adults; 30 participants; 58 participants; 29 individuals,detail_hint,supplement_queue,pending,,s12986-026-01124-1_reference.pdf,0.899,48,Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome compositi; Bifidobacterium 7bifidum BGN4 alters gut microbiota composition and to assess its associated ef; probiotic intervention modulated 23the enrichment of several taxa; Bifidobacterium 24catenulatum group; Lactiplantibacillus plantarum group; Probiotic; Akkermansia muciniphila and Bifidobacterium longum; probiotic supplementation in obese 68individuals reported a significant mean reduction in,8 weeks,,60 adults; 30 participants; 58 participants,insulin; adiposity; body fat; microbiota; glucose; BMI; SCFA; body weight; waist circumference,"ARTICLE IN PRESS Article in Press Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial Nutrition & Metabolism Received: 31 December 2025 Accepted: 16 April 2026 Cite this article as: Choi J., Kim H., Ham S. et al. Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial. Nutr Metab (Lond) (2026). https://doi.org/10.1186/ s12986-026-01124-1 Ju-Won Choi, Hyeyoon Kim, Sung-Hee Ham, Ye-Jin Han, Sung-Eun Kim & Mi-Kyung Sung We are providing an unedited version of this manuscript to give early access to its findings. Before final publication, the manus"
EUROPEPMC:42116047,PubMed,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",glucose,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",,,,,,,,60 adults; 30 participants; 58 participants; 29 individuals,detail_hint,supplement_queue,pending,,s12986-026-01124-1_reference.pdf,0.899,48,Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome compositi; Bifidobacterium 7bifidum BGN4 alters gut microbiota composition and to assess its associated ef; probiotic intervention modulated 23the enrichment of several taxa; Bifidobacterium 24catenulatum group; Lactiplantibacillus plantarum group; Probiotic; Akkermansia muciniphila and Bifidobacterium longum; probiotic supplementation in obese 68individuals reported a significant mean reduction in,8 weeks,,60 adults; 30 participants; 58 participants,insulin; adiposity; body fat; microbiota; glucose; BMI; SCFA; body weight; waist circumference,"ARTICLE IN PRESS Article in Press Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial Nutrition & Metabolism Received: 31 December 2025 Accepted: 16 April 2026 Cite this article as: Choi J., Kim H., Ham S. et al. Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial. Nutr Metab (Lond) (2026). https://doi.org/10.1186/ s12986-026-01124-1 Ju-Won Choi, Hyeyoon Kim, Sung-Hee Ham, Ye-Jin Han, Sung-Eun Kim & Mi-Kyung Sung We are providing an unedited version of this manuscript to give early access to its findings. Before final publication, the manus"
EUROPEPMC:42116047,PubMed,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",microbiome,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",,,,,,,,60 adults; 30 participants; 58 participants; 29 individuals,detail_hint,supplement_queue,pending,,s12986-026-01124-1_reference.pdf,0.899,48,Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome compositi; Bifidobacterium 7bifidum BGN4 alters gut microbiota composition and to assess its associated ef; probiotic intervention modulated 23the enrichment of several taxa; Bifidobacterium 24catenulatum group; Lactiplantibacillus plantarum group; Probiotic; Akkermansia muciniphila and Bifidobacterium longum; probiotic supplementation in obese 68individuals reported a significant mean reduction in,8 weeks,,60 adults; 30 participants; 58 participants,insulin; adiposity; body fat; microbiota; glucose; BMI; SCFA; body weight; waist circumference,"ARTICLE IN PRESS Article in Press Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial Nutrition & Metabolism Received: 31 December 2025 Accepted: 16 April 2026 Cite this article as: Choi J., Kim H., Ham S. et al. Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial. Nutr Metab (Lond) (2026). https://doi.org/10.1186/ s12986-026-01124-1 Ju-Won Choi, Hyeyoon Kim, Sung-Hee Ham, Ye-Jin Han, Sung-Eun Kim & Mi-Kyung Sung We are providing an unedited version of this manuscript to give early access to its findings. Before final publication, the manus"
PMID:40598275,PubMed,40598275,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial.",weight,"Inulin significantly reduced glucose levels at 1 h (Cohen's d = 0.71, p = 0.041) and 2 h (Cohen's d = 0.73, p = 0.028) during oral glucose tolerance test (OGTT), increased fasting insulin (Cohen's d = 0.70, p = 0.008), and lowered homocysteine (HCY) levels (Cohen's d = 0.76, p = 0.014) in overweight/obese individuals.",p = 0.041; p = 0.028; p = 0.008; p = 0.014; p = 0.023; p = 0.020,,,,,,,131 adults,detail_hint,supplement_queue,pending,,s12916-025-04189-6.pdf,1.000,17,inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolis; inulin and fructooligosac- charides; inulin; Inulin significantly reduced glucose levels at 1 h; Inulin also reduced the abundance of Ruminococcus by 72.0; inulin. Functional prediction of gut microbiota revealed upregulation of microbial fol; inulin may be more suitable for managing glycemic dysregulation in overweight or obese; probiotic intervention holds broad applica - bility in intervening in metabolic health. D,4 weeks; 1 month; 2 days,,131 adults; 40 participants; 120 participants; N = 44; N = 43,microbiota; glucose; insulin; SCFA; body mass index; BMI; body weight; cholesterol; triglycerides,"Li et al. BMC Medicine (2025) 23:372 https://doi.org/10.1186/s12916-025-04189-6 RESEARCH Open Access © The Author(s) 2025. Open Access This article is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License, which permits any non-commercial use, sharing, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if you modified the licensed material. You do not have permission under this licence to share adapted material derived from this article or parts of it. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and you"
PMID:40598275,PubMed,40598275,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial.",glucose,"Inulin significantly reduced glucose levels at 1 h (Cohen's d = 0.71, p = 0.041) and 2 h (Cohen's d = 0.73, p = 0.028) during oral glucose tolerance test (OGTT), increased fasting insulin (Cohen's d = 0.70, p = 0.008), and lowered homocysteine (HCY) levels (Cohen's d = 0.76, p = 0.014) in overweight/obese individuals.",p = 0.041; p = 0.028; p = 0.008; p = 0.014; p = 0.023; p = 0.020,,,,,,,131 adults,detail_hint,supplement_queue,pending,,s12916-025-04189-6.pdf,1.000,17,inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolis; inulin and fructooligosac- charides; inulin; Inulin significantly reduced glucose levels at 1 h; Inulin also reduced the abundance of Ruminococcus by 72.0; inulin. Functional prediction of gut microbiota revealed upregulation of microbial fol; inulin may be more suitable for managing glycemic dysregulation in overweight or obese; probiotic intervention holds broad applica - bility in intervening in metabolic health. D,4 weeks; 1 month; 2 days,,131 adults; 40 participants; 120 participants; N = 44; N = 43,microbiota; glucose; insulin; SCFA; body mass index; BMI; body weight; cholesterol; triglycerides,"Li et al. BMC Medicine (2025) 23:372 https://doi.org/10.1186/s12916-025-04189-6 RESEARCH Open Access © The Author(s) 2025. Open Access This article is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License, which permits any non-commercial use, sharing, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if you modified the licensed material. You do not have permission under this licence to share adapted material derived from this article or parts of it. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and you"
PMID:40598275,PubMed,40598275,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial.",microbiome,"Functional prediction of gut microbiota revealed upregulation of microbial folate and glutathione metabolism with inulin, and purine metabolism with FOS.; Practically, inulin may be more suitable for managing glycemic dysregulation in overweight or obese individuals, while FOS may be considered for HCY reduction in individuals with normal glycemic status.",p = 0.041; p = 0.028; p = 0.008; p = 0.014; p = 0.023; p = 0.020,,,,,,,131 adults,detail_hint,supplement_queue,pending,,s12916-025-04189-6.pdf,1.000,17,inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolis; inulin and fructooligosac- charides; inulin; Inulin significantly reduced glucose levels at 1 h; Inulin also reduced the abundance of Ruminococcus by 72.0; inulin. Functional prediction of gut microbiota revealed upregulation of microbial fol; inulin may be more suitable for managing glycemic dysregulation in overweight or obese; probiotic intervention holds broad applica - bility in intervening in metabolic health. D,4 weeks; 1 month; 2 days,,131 adults; 40 participants; 120 participants; N = 44; N = 43,microbiota; glucose; insulin; SCFA; body mass index; BMI; body weight; cholesterol; triglycerides,"Li et al. BMC Medicine (2025) 23:372 https://doi.org/10.1186/s12916-025-04189-6 RESEARCH Open Access © The Author(s) 2025. Open Access This article is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License, which permits any non-commercial use, sharing, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if you modified the licensed material. You do not have permission under this licence to share adapted material derived from this article or parts of it. The images or other third party material in this article are included in the article’s Creative Commons licence, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons licence and you"
